property_id,property_type,property_age,crime_rate,construction_materials,weather_precipitation,weather_temperature,claim_type,claim_amount,property_damage_cost,insured_value,policyholder_age,property_size
8953,Single-Family Home,46,1115.0,Wood,34.81,67.7,Fire,16277.94,12556.07,75524.76,49,15105
5587,Single-Family Home,48,538.9,Wood,19.92,33.9,Theft,2956.98,5262.57,17250.54,27,3450
7057,Apartment,42,926.9,Wood,36.87,56.79,Water Damage,9878.04,20999.01,84403.03,64,8440
280,Apartment,31,864.3,Wood,10.77,53.3,Fire,13603.57,17943.45,63843.83,77,6384
9375,Commercial Building,36,6994.4,Wood,13.2,42.8,Fire,16461.37,35005.05,120537.94,46,60269
948,Single-Family Home,50,206.3,Wood,81.39,18.58,Water Damage,7886.79,6116.5,22699.38,27,4540
5846,Single-Family Home,34,1712.3,Wood,29.56,92.79,Fire,17640.37,31471.23,131038.35,66,26208
7157,Commercial Building,16,946.9,Wood,24.41,0.91,Fire,14094.57,19630.37,67416.79,38,33708
769,-,36,2075.3,Steel,20.23,18.0,,16087.86,20920.87,77838.01,65,38919
4841,Commercial Building,5,1232.1,Steel,14.49,7.75,Water Damage,7377.21,19373.8,43634.84,76,21817
2342,Apartment,49,379.4,Concrete,52.67,87.71,Fire,12048.33,18829.47,76372.85,64,7637
4132,Single-Family Home,2,485.0,Wood,38.12,29.02,Fire,11671.07,17146.23,77764.3,72,15553
1880,Single-Family Home,-10,1009.9,Wood,10.49,77.93,Water Damage,5265.05,3955.94,27252.92,57,5451
8870,Apartment,31,489.2,Steel,27.36,47.25,Fire,14216.24,29348.67,99862.79,21,9986
5347,Commercial Building,37,578.4,Wood,17.63,49.48,Water Damage,9027.73,15820.48,64958.62,78,32479
6466,Single-Family Home,16,431.7,Wood,46.77,83.18,Theft,3849.82,4739.88,15367.32,20,3073
8805,Commercial Building,36,5082.2,Wood,30.32,59.55,Fire,15608.98,18097.04,51504.71,38,25752
9661,Single-Family Home,33,2146.9,Wood,30.66,22.14,Fire,16127.48,21960.42,109462.8,62,21893
1719,Apartment,48,268.9,Concrete,15.85,67.42,Water Damage,8125.28,21691.99,79498.38,52,7950
6528,Apartment,16,326.8,Concrete,36.64,65.57,Water Damage,5293.25,9382.25,24378.16,49,2438
6631,Commercial Building,13,1204.4,Steel,14.33,59.09,Water Damage,8673.43,13484.94,57274.92,52,28637
6132,Single-Family Home,43,1047.1,Wood,27.99,83.59,Fire,10080.86,9786.38,50422.94,55,10085
6165,Commercial Building,42,921.6,Wood,36.94,10.37,Theft,2644.59,2495.18,13168.31,18,6584
5222,Commercial Building,7,405.6,Wood,19.88,49.95,Water Damage,6954.25,4011.69,24953.69,77,12477
9471,Commercial Building,1,3173.9,Concrete,25.5,8.74,Fire,16065.47,37389.32,153151.07,19,76576
1628,Single-Family Home,2,4753.4,Wood,34.68,47.19,Fire,21188.43,31460.83,134866.89,20,26973
9950,Apartment,44,1647.6,Wood,20.11,54.33,Fire,13866.07,32683.09,93388.32,61,9339
133,Commercial Building,36,629.7,Wood,80.12,78.27,Water Damage,8052.1,12824.29,58773.96,55,29387
7047,Single-Family Home,33,1248.8,Wood,37.5,51.9,Fire,13868.35,12171.96,46231.66,71,9246
9910,Apartment,21,180.0,Wood,31.25,90.3,Fire,18181.99,19136.96,79921.95,74,7992
2169,Single-Family Home,31,2017.3,Wood,35.95,68.04,Water Damage,8852.02,20964.05,78608.23,70,15722
94,Single-Family Home,28,2901.0,Wood,22.51,86.35,Fire,16156.46,23787.34,89003.68,64,17801
5696,Single-Family Home,45,5512.9,Wood,26.2,78.55,Fire,17825.98,42220.5,175724.98,50,35145
2633,Single-Family Home,38,1030.7,Wood,23.4,17.9,Fire,15116.76,31092.04,82810.01,80,16562
4769,Apartment,16,1697.0,Steel,23.6,61.67,Fire,19767.54,43128.48,160399.61,65,16040
2759,Apartment,26,110.1,Wood,16.48,40.93,Water Damage,9648.36,9958.62,32870.99,75,3287
5265,Commercial Building,34,1802.8,Concrete,11.11,30.08,Fire,18081.07,23375.92,118879.05,62,59440
466,Commercial Building,22,4345.5,Concrete,29.22,57.53,Water Damage,9429.54,14928.06,65218.15,62,32609
4641,Commercial Building,32,4869.1,Concrete,109.76,54.71,Water Damage,7096.29,18670.59,59181.84,59,29591
7931,Apartment,20,1129.4,Wood,39.69,92.33,Fire,13485.9,21087.41,58277.1,68,5828
5019,Apartment,21,561.9,Steel,31.25,75.44,Fire,12897.5,22603.42,104685.81,66,10469
96,Apartment,18,274.9,Wood,107.58,87.23,Water Damage,7605.24,8136.82,34940.88,62,3494
9021,Apartment,37,92.0,Concrete,31.29,82.63,Water Damage,6008.53,8450.51,35687.54,50,3569
8780,Single-Family Home,9,447.2,Wood,39.7,36.73,Fire,16773.16,29974.2,79286.49,69,15857
1219,Single-Family Home,14,2066.2,Wood,37.86,83.92,Fire,16371.12,11366.48,67553.05,65,13511
3069,Apartment,41,66.0,Steel,54.29,49.1,Fire,8668.59,13880.09,60290.85,64,6029
499,Single-Family Home,46,245.0,Wood,88.39,83.75,Theft,2156.17,2741.35,11742.27,26,2348
9680,Single-Family Home,6,927.6,Wood,30.9,85.69,Fire,11452.05,10102.19,47455.27,75,9491
371,Apartment,1,171.2,Concrete,27.01,66.23,Water Damage,7017.33,7482.54,29670.01,68,2967
3964,Commercial Building,9,1213.0,Concrete,119.48,19.87,Water Damage,4633.07,4325.76,21964.49,48,10982
6706,Single-Family Home,21,1497.4,Wood,117.88,18.89,Fire,12469.53,8217.3,48624.97,75,9725
5839,Apartment,47,47.1,Wood,30.09,74.9,Water Damage,6698.13,4867.03,22285.61,69,2229
490,Commercial Building,14,4743.7,Steel,22.48,80.19,Water Damage,9726.54,22600.26,76274.18,47,38137
1688,Single-Family Home,34,1325.4,Wood,91.23,42.57,Water Damage,11429.74,24404.6,95120.77,36,19024
2862,Apartment,6,2390.2,Steel,10.14,54.63,Fire,16754.85,42126.93,142539.48,74,14254
4585,Commercial Building,20,1309.0,Concrete,31.49,45.2,Water Damage,9983.62,9558.26,29596.6,48,14798
3165,Commercial Building,12,3001.3,Steel,38.7,76.99,Water Damage,5753.68,8154.46,37208.91,21,18604
5630,Single-Family Home,6,392.2,Wood,13.03,48.1,Theft,2716.47,2233.78,10195.61,45,2039
1167,Single-Family Home,30,258.2,Wood,113.19,70.67,Theft,2722.66,1778.12,8620.98,42,1724
6880,Commercial Building,11,838.1,Concrete,21.01,63.85,Water Damage,6061.16,5172.09,23537.42,53,11769
3690,Apartment,40,115.0,Wood,11.43,65.79,Theft,4007.11,3113.11,19528.66,70,1953
9369,Apartment,-6,621.9,Concrete,36.25,54.69,Water Damage,8397.98,6621.61,36717.78,32,3672
4424,Commercial Building,25,2893.4,Concrete,32.88,11.99,Fire,10183.99,13193.73,48423.54,52,24212
2760,-,9,58.5,Wood,22.53,58.78,,10065.14,9125.63,33723.96,57,3372
1053,Single-Family Home,20,1016.9,Wood,68.87,58.57,Water Damage,10467.97,7683.48,110884.0,65,8871
4718,Single-Family Home,11,381.6,Wood,102.05,89.44,Water Damage,8303.78,10087.48,39227.15,36,7845
301,Single-Family Home,26,1021.8,Wood,15.87,14.38,Water Damage,8557.01,3901.89,28969.22,52,5794
951,Single-Family Home,43,2310.8,Wood,15.13,46.07,Water Damage,8560.4,11739.82,60773.08,20,12155
7713,Commercial Building,45,12188.4,Wood,36.25,42.84,Fire,21384.58,44062.51,184103.7,32,92052
1155,Single-Family Home,32,1456.1,Wood,24.69,42.92,Water Damage,6924.86,13112.72,55957.29,74,11191
495,Apartment,37,1092.1,Steel,30.77,75.18,Fire,14043.99,32236.27,109711.12,69,10971
5854,Single-Family Home,43,174.6,Wood,22.94,27.53,Water Damage,7868.06,7260.61,33986.0,70,6797
1738,Single-Family Home,14,159.7,Wood,23.49,80.23,Fire,16380.26,8368.92,54825.88,26,10965
2443,-,20,721.8,Wood,12.78,45.1,,19452.54,13576.41,68700.4,58,34350
8888,Apartment,24,626.6,Steel,16.81,58.76,Water Damage,5854.54,10208.13,35596.65,63,3560
1919,Commercial Building,46,7219.9,Concrete,24.29,26.61,Fire,19852.27,32868.77,137663.89,19,68832
7543,-,3,3480.0,Steel,13.64,15.14,,9916.8,25324.21,104586.3,23,52293
6613,Single-Family Home,2,1431.1,Wood,17.48,42.7,Water Damage,7149.09,13574.34,54640.68,38,10928
8528,Apartment,41,1094.0,Concrete,14.06,92.79,Fire,11862.14,16975.07,74284.87,30,7428
8592,Apartment,30,187.2,Steel,38.74,63.65,Water Damage,6332.43,22742.79,52595.63,58,5260
6566,Commercial Building,15,799.0,Concrete,16.33,47.62,Water Damage,9202.11,6381.41,37645.92,26,18823
4603,Commercial Building,20,2339.8,Concrete,22.37,42.69,Fire,12697.63,15472.22,43149.47,28,21575
8356,Apartment,39,334.0,Concrete,38.34,69.35,Fire,11227.94,10340.59,50386.81,57,5039
279,-,35,212.5,Wood,26.22,53.48,,12027.4,15234.55,73225.81,75,14645
9741,Single-Family Home,31,798.3,Wood,16.7,72.78,Water Damage,7245.96,7309.51,30851.36,26,6170
9970,Single-Family Home,44,2829.8,Wood,11.15,48.08,Fire,14308.53,21248.95,96381.1,71,19276
5604,Commercial Building,46,2917.4,Steel,33.15,15.77,Water Damage,10352.38,15936.35,40698.97,23,20349
8585,Apartment,-49,271.2,Wood,16.14,88.36,Water Damage,7822.29,3672.97,33605.75,25,3361
7061,Single-Family Home,25,244.4,Wood,38.77,54.83,Theft,3179.06,3473.27,13498.3,19,2700
5282,Single-Family Home,1,365.9,Wood,35.91,45.13,Water Damage,5817.69,9721.51,76728.32500000001,64,6138
2542,Apartment,8,800.8,Wood,11.49,13.64,Fire,14784.19,17159.16,55390.95,21,5539
1195,-,36,1280.0,Wood,11.41,79.06,,5996.3,9754.54,39149.85,28,7830
4746,Apartment,19,1076.3,Steel,116.81,92.34,Fire,15451.28,23598.91,152175.025,18,6087
2177,Single-Family Home,43,2624.2,Wood,12.44,72.46,Fire,20368.5,21519.08,99177.45,67,19835
8956,Apartment,-37,508.3,Concrete,75.99,92.29,Water Damage,6532.09,3336.35,28144.69,18,2814
2312,Commercial Building,41,4407.7,Steel,22.12,41.19,Fire,15130.51,48229.84,138346.73,33,69173
3911,Single-Family Home,31,225.5,Wood,19.38,50.35,Fire,14908.94,14638.01,74923.28,53,14985
